adsorbent,temperature(k),pressure,total_adsorption,pore diameter (A),micro pore volume (ml/g),BET surface area (m2/g),Cation,Si/Al ratio
0.5892857142857143,0.4078947368421053,0.005972950920484646,0.005972950920484646,0.2129032258064516,0.44196324726680625,0.5570388349514562,0.2857142857142857,0.023103448275862068
0.5892857142857143,0.4078947368421053,0.012999127061978602,0.012999127061978602,0.2129032258064516,0.44196324726680625,0.5570388349514562,0.2857142857142857,0.023103448275862068
0.5892857142857143,0.4078947368421053,0.030620575939108326,0.030620575939108326,0.2129032258064516,0.44196324726680625,0.5570388349514562,0.2857142857142857,0.023103448275862068
0.5892857142857143,0.4078947368421053,0.07119269531863237,0.07119269531863237,0.2129032258064516,0.44196324726680625,0.5570388349514562,0.2857142857142857,0.023103448275862068
0.5892857142857143,0.4078947368421053,0.17073537778817707,0.17073537778817707,0.2129032258064516,0.44196324726680625,0.5570388349514562,0.2857142857142857,0.023103448275862068
0.5892857142857143,0.4078947368421053,0.4096144173763663,0.4096144173763663,0.2129032258064516,0.44196324726680625,0.5570388349514562,0.2857142857142857,0.023103448275862068
0.5892857142857143,0.4078947368421053,0.8580400791543801,0.8580400791543801,0.2129032258064516,0.44196324726680625,0.5570388349514562,0.2857142857142857,0.023103448275862068
0.25,0.4078947368421053,0.006128064907391576,0.006128064907391576,0.2645161290322581,0.5582693649685974,0.8082524271844659,0.0,0.0
0.25,0.4078947368421053,0.008152921142598876,0.008152921142598876,0.2645161290322581,0.5582693649685974,0.8082524271844659,0.0,0.0
0.25,0.4078947368421053,0.010177777377806178,0.010177777377806178,0.2645161290322581,0.5582693649685974,0.8082524271844659,0.0,0.0
0.25,0.4078947368421053,0.01622734785830206,0.01622734785830206,0.2645161290322581,0.5582693649685974,0.8082524271844659,0.0,0.0
0.25,0.4078947368421053,0.026326630809212548,0.026326630809212548,0.2645161290322581,0.5582693649685974,0.8082524271844659,0.0,0.0
0.25,0.4078947368421053,0.052574767191529405,0.052574767191529405,0.2645161290322581,0.5582693649685974,0.8082524271844659,0.0,0.0
0.25,0.4078947368421053,0.07082347153352112,0.07082347153352112,0.2645161290322581,0.5582693649685974,0.8082524271844659,0.0,0.0
0.25,0.4078947368421053,0.10307118194608184,0.10307118194608184,0.2645161290322581,0.5582693649685974,0.8082524271844659,0.0,0.0
0.25,0.4078947368421053,0.12931931832839869,0.12931931832839869,0.2645161290322581,0.5582693649685974,0.8082524271844659,0.0,0.0
0.25,0.4078947368421053,0.15556745471071554,0.15556745471071554,0.2645161290322581,0.5582693649685974,0.8082524271844659,0.0,0.0
0.25,0.4078947368421053,0.18381544910311368,0.18381544910311368,0.2645161290322581,0.5582693649685974,0.8082524271844659,0.0,0.0
0.25,0.4078947368421053,0.21206344349551184,0.21206344349551184,0.2645161290322581,0.5582693649685974,0.8082524271844659,0.0,0.0
0.25,0.4078947368421053,0.23831157987782867,0.23831157987782867,0.2645161290322581,0.5582693649685974,0.8082524271844659,0.0,0.0
0.25,0.4078947368421053,0.25756021322486106,0.25756021322486106,0.2645161290322581,0.5582693649685974,0.8082524271844659,0.0,0.0
0.25,0.4078947368421053,0.2900579058886819,0.2900579058886819,0.2645161290322581,0.5582693649685974,0.8082524271844659,0.0,0.0
0.25,0.4078947368421053,0.36255275875412846,0.36255275875412846,0.2645161290322581,0.5582693649685974,0.8082524271844659,0.0,0.0
0.25,0.4078947368421053,0.5100422869976231,0.5100422869976231,0.2645161290322581,0.5582693649685974,0.8082524271844659,0.0,0.0
0.25,0.4078947368421053,0.7400259581569709,0.7400259581569709,0.2645161290322581,0.5582693649685974,0.8082524271844659,0.0,0.0
0.8035714285714285,0.34210526315789513,0.00017161006568533634,0.00017161006568533634,0.22580645161290325,0.6745754826703885,0.6881067961165047,0.7142857142857142,0.0
